,2025
Trading,Hedging Total
,
,
"$ 763,135","$ – $ 763,135"
"2,686","– 2,686"
"2,545","– 2,545"
"768,366","– 768,366"
,
315,– 315
"467,384","58,791 526,175"
"84,306","– 84,306"
"83,090","– 83,090"
"635,095","58,791 693,886"
,
"157,033","– 157,033"
"8,630,261","344,717 8,974,978"
–,– –
–,– –
"8,787,294","344,717 9,132,011"
"$ 10,190,755","$ 403,508 $ 10,594,263"
,
,
"$ 18,665","$ – $ 18,665"
–,– –
–,– –
"18,665","– 18,665"
,
"581,518","20,870 602,388"
"869,035","102,579 971,614"
"32,750","– 32,750"
"46,781","– 46,781"
"1,530,084","123,449 1,653,533"
,
"34,708","– 34,708"
–,– –
–,– –
–,– –
"34,708","– 34,708"
"$ 1,583,457","$ 123,449 $ 1,706,906"
,
,
"$ 128,297","$ – $ 128,297"
–,– –
"39,897","– 39,897"
"168,194","– 168,194"
,
"131,393","1,284 132,677"
"20,457","– 20,457"
"40,993","– 40,993"
"192,843","1,284 194,127"
,
–,– –
"7,374","– 7,374"
501,– 501
"7,875","– 7,875"
"$ 368,912","$ 1,284 $ 370,196"
"$ 12,143,124","$ 528,241 $ 12,671,365"
