"Carrying amount of the
hedging instruments(1)",,Hedge Ineffectiveness(2)
Assets Liabilities,,"Gains/(losses) on
Gains/(losses) on hypothetical
hedging instrument derivative used to Ineffectiveness
used to calculate calculate hedge recorded in non-interest
h edge ineffectiveness ineffectiveness(3) income – other(4)"
,,
"$ 1,969 $ (3,746) $ 171 $ 169 $ (5)",,
"200 (1,949) 173 166 5",,
,,
"6,904 (2,541) 3,242 3,259 (9)",,
– (7) (3) (3) –,,
92 – (12) (12) –,,
79 – 357 357 –,,
"9,244 (8,243) 3,928 3,936 (9)",,
,,
,,
"46 (840) (1,294) (1,294) –",,
"n/a (6,287) (67) (66) –",,
"46 (7,127) (1,361) (1,360) –",,
"$ 9,290 $ (15,370) $ 2,567 $ 2,576 $ (9)",,
