Base Case Scenario,,Alternative Scenario – Optimistic,,Alternative Scenario – Pessimistic,,"Alternative Scenario – Very
Pessimistic"
"Next Remaining
12 Months Forecast Period",,"Next Remaining
12 Months Forecast Period",,"Next Remaining
12 Months Forecast Period",,"Next Remaining
12 Months Forecast Period"
,,,,,,
1.2 2.2,,2.4 3.1,,-1.1 2.7,,-4.4 3.4
1.9 2.2,,2.1 2.7,,1.4 2.0,,5.0 2.4
7.0 5.8,,6.6 4.7,,8.2 6.4,,11.2 7.0
2.3 2.8,,2.8 3.7,,2.1 2.4,,3.1 3.3
1.9 6.2,,2.6 7.7,,-2.0 6.7,,-5.1 6.2
1.32 1.30,,1.31 1.29,,1.37 1.29,,1.45 1.30
,,,,,,
1.4 2.3,,1.9 3.2,,-1.0 3.0,,-3.7 3.5
2.6 2.5,,2.7 2.8,,2.7 2.4,,6.0 2.7
3.3 3.0,,3.5 3.5,,3.2 2.7,,3.9 3.6
4.5 4.3,,4.4 4.0,,5.8 4.8,,8.1 5.2
,,,,,,
-0.2 2.2,,0.6 2.9,,-2.4 2.6,,-5.5 3.3
3.3 3.7,,3.2 3.1,,3.9 3.8,,6.1 4.6
,,,,,,
2.4 2.0,,3.5 2.8,,0.3 2.6,,-3.7 3.5
7.9 6.7,,7.7 6.4,,9.0 6.9,,11.2 7.3
,,,,,,
2.9 3.1,,4.1 4.0,,0.6 3.6,,-1.0 4.1
5.7 6.1,,5.3 5.2,,6.7 6.5,,10.5 7.6
,,,,,,
2.9 2.5,,4.0 3.4,,0.7 3.0,,-1.0 3.5
10.3 9.9,,10.0 9.1,,12.0 10.5,,18.9 12.5
,,,,,,
3.7 4.0,,4.4 4.7,,1.6 4.4,,-0.6 4.9
,,,,,,
60 66,,64 78,,53 61,,45 56
4.19 4.68,,4.29 5.03,,3.92 4.60,,3.61 4.47
2.2 2.7,,3.0 3.5,,0.3 3.2,,-2.2 3.7
